,path,classId,shape,color,description
0,data/Meta/8.png,8,0,3,Speed Limit (120 km/h)
1,data/Meta/9.png,9,0,3,No passing
2,data/Meta/14.png,14,2,3,Stop
3,data/Meta/28.png,28,1,3,Children crossing
4,data/Meta/29.png,29,1,3,Bicycles crossing
5,data/Meta/15.png,15,0,3,No vehicles
6,data/Meta/17.png,17,0,3,No entry
7,data/Meta/16.png,16,0,3,Vehicles over 3.5 metric tons prohibited
8,data/Meta/12.png,12,3,2,Priority road
9,data/Meta/13.png,13,4,3,Yield
10,data/Meta/39.png,39,0,1,Keep left
11,data/Meta/11.png,11,1,3,Right-of-way at the next intersection
12,data/Meta/10.png,10,0,3,No passing for vehicles over 3.5 metric tons
13,data/Meta/38.png,38,0,1,Keep right
14,data/Meta/35.png,35,0,1,Ahead only
15,data/Meta/21.png,21,1,3,Double curve
16,data/Meta/20.png,20,1,3,Dangerous curve to the right
17,data/Meta/34.png,34,0,1,Turn left ahead
18,data/Meta/22.png,22,1,3,Bumpy road
19,data/Meta/36.png,36,0,1,Go straight or right
20,data/Meta/37.png,37,0,1,Go straight or left
21,data/Meta/23.png,23,1,3,Slippery road
22,data/Meta/27.png,27,1,3,Pedestrians
23,data/Meta/33.png,33,0,1,Turn right ahead
24,data/Meta/32.png,32,0,0,End of all speed and passing limits
25,data/Meta/26.png,26,1,3,Traffic signals
26,data/Meta/18.png,18,1,3,General caution
27,data/Meta/30.png,30,1,3,Beware of ice/snow
28,data/Meta/24.png,24,1,3,Road narrows on the right
29,data/Meta/25.png,25,1,3,Road work
30,data/Meta/31.png,31,1,3,Wild animals crossing
31,data/Meta/19.png,19,1,3,Dangerous curve to the left
32,data/Meta/4.png,4,0,3,Speed Limit (70 km/h)
33,data/Meta/42.png,42,0,0,End of no passing by vehicles over 3.5 metric tons
34,data/Meta/5.png,5,0,3,Speed Limit (80 km/h)
35,data/Meta/41.png,41,0,0,End of no passing
36,data/Meta/7.png,7,0,3,Speed Limit (100 km/h)
37,data/Meta/6.png,6,0,0,End of Speed Limit (80 km/h)
38,data/Meta/40.png,40,0,1,Roundabout mandatory
39,data/Meta/2.png,2,0,3,Speed Limit (50 km/h)
40,data/Meta/3.png,3,0,3,Speed Limit (60 km/h)
41,data/Meta/1.png,1,0,3,Speed Limit (30 km/h)
42,data/Meta/0.png,0,0,3,Speed Limit (20 km/h)
